,Population,Haplotypes,Initial_SNP,SNPs_removed_MAF,MAF_retained_shape,SNPs_removed_LD,Final_shape
0,BFcol.3R,150,4836295,3450127,201593,117448,84145
1,BFgam.3R,184,4836295,3448322,203398,110591,92807
2,AOcol.3R,156,4836295,3458829,192891,181052,11839
3,CIcol.3R,142,4836295,3441774,209946,173101,36845
4,CMgam.3R,594,4836295,3447255,204465,89849,114616
5,FRgam.3R,48,4836295,3513224,138496,138370,126
6,GAgam.3R,138,4836295,3415632,236088,232280,3808
7,GHcol.3R,110,4836295,3435533,216187,189816,26371
8,GHgam.3R,24,4836295,3447234,204486,204378,108
9,GM.3R,130,4836295,3420635,231085,213942,17143
10,GNcol.3R,8,4836295,3464195,187525,187518,7
11,GNgam.3R,80,4836295,3417049,234671,223077,11594
12,GQgam.3R,18,4836295,3340160,311560,311509,51
13,GW.3R,182,4836295,3442758,208962,126202,82760
14,KE.3R,96,4836295,3522483,129237,129094,143
15,UGgam.3R,224,4836295,3443450,208270,115309,92961
