Count,Population_pair,Samples,Initial_SNP,MAF_filter_SNP,Filtered_SNP,LR_accuracy,LR_f1score,LR_kappa,UMAP_LR_accuracy,UMAP_LR_f1score,UMAP_LR_kappa
1,BFcol_BFgam,167.0,4836295,202928,116947,1.0,1.0,1.0,1.0,1.0,1.0
2,BFcol_AOcol,153.0,4836295,196218,61477,1.0,1.0,1.0,1.0,1.0,1.0
3,BFcol_CIcol,146.0,4836295,206852,91924,1.0,1.0,1.0,0.9666666666666667,0.9666295884315907,0.9333333333333333
4,BFcol_CMgam,175.0,4836295,200832,117855,1.0,1.0,1.0,1.0,1.0,1.0
5,BFcol_GAgam,144.0,4836295,218226,52373,1.0,1.0,1.0,0.4827586206896552,0.3143544506816359,0.0
6,BFcol_GHcol,130.0,4836295,209195,99782,1.0,1.0,1.0,1.0,1.0,1.0
7,BFcol_GM,140.0,4836295,213948,95080,1.0,1.0,1.0,1.0,1.0,1.0
8,BFcol_GNgam,115.0,4836295,200373,111014,1.0,1.0,1.0,1.0,1.0,1.0
9,BFcol_GW,166.0,4836295,206882,111254,1.0,1.0,1.0,1.0,1.0,1.0
10,BFcol_KE,123.0,4836295,192085,21719,1.0,1.0,1.0,0.6,0.44999999999999996,0.0
11,BFcol_UGgam,187.0,4836295,205039,114456,1.0,1.0,1.0,1.0,1.0,1.0
12,BFgam_AOcol,170.0,4836295,207088,69339,1.0,1.0,1.0,1.0,1.0,1.0
13,BFgam_CIcol,163.0,4836295,204334,102654,1.0,1.0,1.0,1.0,1.0,1.0
14,BFgam_CMgam,192.0,4836295,201889,113461,0.8974358974358975,0.8960647195941314,0.7936507936507936,0.8974358974358975,0.8970288970288971,0.7941952506596306
15,BFgam_GAgam,161.0,4836295,215988,59156,1.0,1.0,1.0,0.5757575757575758,0.4207459207459208,0.0
16,BFgam_GHcol,147.0,4836295,207173,108392,1.0,1.0,1.0,1.0,1.0,1.0
17,BFgam_GM,157.0,4836295,210501,99979,1.0,1.0,1.0,1.0,1.0,1.0
18,BFgam_GNgam,132.0,4836295,203447,105816,0.7407407407407407,0.6600823045267489,0.1674008810572687,0.7037037037037037,0.5813204508856683,0.0
19,BFgam_GW,183.0,4836295,204333,113954,1.0,1.0,1.0,1.0,1.0,1.0
20,BFgam_KE,140.0,4836295,205403,37312,1.0,1.0,1.0,0.35714285714285715,0.18796992481203006,0.0
21,BFgam_UGgam,204.0,4836295,204547,113845,1.0,1.0,1.0,1.0,1.0,1.0
22,AOcol_CIcol,149.0,4836295,207682,46424,1.0,1.0,1.0,1.0,1.0,1.0
23,AOcol_CMgam,178.0,4836295,205542,74067,1.0,1.0,1.0,1.0,1.0,1.0
24,AOcol_GAgam,147.0,4836295,227616,19320,1.0,1.0,1.0,1.0,1.0,1.0
25,AOcol_GHcol,133.0,4836295,199242,41458,1.0,1.0,1.0,1.0,1.0,1.0
26,AOcol_GM,143.0,4836295,206985,37741,1.0,1.0,1.0,1.0,1.0,1.0
27,AOcol_GNgam,118.0,4836295,201758,34738,1.0,1.0,1.0,1.0,1.0,1.0
28,AOcol_GW,169.0,4836295,210052,66857,1.0,1.0,1.0,1.0,1.0,1.0
29,AOcol_KE,126.0,4836295,208538,4681,1.0,1.0,1.0,0.38461538461538464,0.21367521367521367,0.0
30,AOcol_UGgam,190.0,4836295,210194,74624,1.0,1.0,1.0,1.0,1.0,1.0
31,CIcol_CMgam,171.0,4836295,201711,105937,1.0,1.0,1.0,1.0,1.0,1.0
32,CIcol_GAgam,140.0,4836295,232069,35845,1.0,1.0,1.0,0.8928571428571429,0.8916129032258064,0.7857142857142857
33,CIcol_GHcol,126.0,4836295,214330,68829,1.0,1.0,1.0,0.8846153846153846,0.8807508281192492,0.7547169811320754
34,CIcol_GM,136.0,4836295,216401,72688,1.0,1.0,1.0,1.0,1.0,1.0
35,CIcol_GNgam,111.0,4836295,204304,81277,1.0,1.0,1.0,1.0,1.0,1.0
36,CIcol_GW,162.0,4836295,208239,96376,1.0,1.0,1.0,1.0,1.0,1.0
37,CIcol_KE,119.0,4836295,207263,9296,1.0,1.0,1.0,0.4166666666666667,0.2450980392156863,0.0
38,CIcol_UGgam,183.0,4836295,205603,103720,1.0,1.0,1.0,1.0,1.0,1.0
39,CMgam_GAgam,169.0,4836295,222474,64916,1.0,1.0,1.0,0.7941176470588235,0.7928698752228165,0.6046511627906976
40,CMgam_GHcol,155.0,4836295,204446,111144,1.0,1.0,1.0,1.0,1.0,1.0
41,CMgam_GM,165.0,4836295,207508,103963,1.0,1.0,1.0,1.0,1.0,1.0
42,CMgam_GNgam,140.0,4836295,209639,114441,0.75,0.6713947990543735,0.1694915254237288,0.9285714285714286,0.9251700680272109,0.8108108108108107
43,CMgam_GW,191.0,4836295,202630,115315,1.0,1.0,1.0,1.0,1.0,1.0
44,CMgam_KE,148.0,4836295,204786,44654,1.0,1.0,1.0,0.7,0.6048237476808905,0.12903225806451601
45,CMgam_UGgam,212.0,4836295,202990,114190,1.0,1.0,1.0,1.0,1.0,1.0
46,GAgam_GHcol,124.0,4836295,224908,29067,1.0,1.0,1.0,0.56,0.40205128205128204,0.0
47,GAgam_GM,134.0,4836295,228423,26819,1.0,1.0,1.0,1.0,1.0,1.0
48,GAgam_GNgam,109.0,4836295,229276,22083,1.0,1.0,1.0,0.6363636363636364,0.494949494949495,0.0
49,GAgam_GW,160.0,4836295,228793,59441,1.0,1.0,1.0,0.4375,0.266304347826087,0.0
