iter	Passed	Remaining
0	1245	123350
1	2474	121254
2	3727	120530
3	5014	120346
4	6400	121604
5	7785	121966
6	9184	122027
7	10591	121800
8	12009	121431
9	13445	121008
10	14751	119355
11	16017	117464
12	17297	115758
13	18512	113722
14	19753	111936
15	21014	110327
16	22270	108731
17	23535	107218
18	24791	105691
19	26341	105366
20	27767	104458
21	29339	104022
22	30891	103418
23	32455	102777
24	34047	102142
25	35631	101413
26	37262	100746
27	38871	99954
28	40481	99109
29	42070	98163
30	43631	97115
31	45222	96098
32	46815	95050
33	48396	93945
34	49964	92791
35	51379	91341
36	52767	89848
37	54204	88438
38	55603	86969
39	57017	85526
40	58613	84346
41	60198	83131
42	61730	81828
43	63157	80381
44	64559	78905
45	65985	77461
46	67419	76026
47	68848	74585
48	70289	73158
49	71660	71660
50	73058	70193
51	74471	68743
52	75876	67286
53	77289	65839
54	78679	64374
55	80076	62917
56	81484	61470
57	82861	60003
58	84282	58569
59	85674	57116
60	87062	55663
61	88441	54206
62	89835	52760
63	91255	51331
64	92654	49890
65	94056	48453
66	95450	47012
67	96817	45561
68	98429	44222
69	100026	42868
70	101629	41510
71	103119	40102
72	104569	38676
73	105960	37229
74	107357	35785
75	108777	34350
76	110173	32909
77	111568	31467
78	112963	30028
79	114369	28592
80	115739	27148
81	117148	25715
82	118529	24277
83	119928	22843
84	121363	21417
85	122735	19980
86	124132	18548
87	125524	17117
88	126910	15685
89	128332	14259
90	129707	12828
91	131123	11402
92	132534	9975
93	133926	8548
94	135343	7123
95	136726	5696
96	138354	4279
97	139963	2856
98	141563	1429
99	143187	0
